,Category,Title,Price,Item_url,Image_url
0,Bag,Dunhill Men’s Messenger Bag Black VGC,$66.34,https://www.ebay.com/itm/274972396279?hash=item4005a1caf7:g:7okAAOSwqVNhTHqy,https://i.ebayimg.com/thumbs/images/g/7okAAOSwqVNhTHqy/s-l225.jpg
1,Bag,Bag,$94.77,https://www.ebay.com/itm/234216353195?hash=item368861edab:g:5sgAAOSw-j1gzfOm,https://i.ebayimg.com/thumbs/images/g/5sgAAOSw-j1gzfOm/s-l225.jpg
2,Bag,JEEP Men’s Black Leather Satchel Bag,$61.69,https://www.ebay.com/itm/144230379971?hash=item2194ccf1c3:g:7fIAAOSww6NhWUxi,https://i.ebayimg.com/thumbs/images/g/7fIAAOSww6NhWUxi/s-l225.jpg
3,Bag,Montblanc Bag 100 % Leder Leather Black,$349.29,https://www.ebay.com/itm/154636284992?hash=item24010a7440:g:gWAAAOSwzzxhIgZy,https://i.ebayimg.com/thumbs/images/g/gWAAAOSwzzxhIgZy/s-l225.jpg
4,Bag,Deadshot Drawstring Bag,$25.99,https://www.ebay.com/itm/133893675365?hash=item1f2caf5965:g:HrwAAOSwRglhWSqF,https://i.ebayimg.com/thumbs/images/g/HrwAAOSwRglhWSqF/s-l225.jpg
5,Bag,SACOCHE CHRONIC Cool Carry Bag New,$31.84,https://www.ebay.com/itm/143972505727?hash=item21856e187f:g:o1MAAOSwNAJdob7a,https://i.ebayimg.com/thumbs/images/g/o1MAAOSwNAJdob7a/s-l225.jpg
6,Bag,Boys Blue Messenger Bag Extra Spacious,$25.47,https://www.ebay.com/itm/194409077293?hash=item2d43af1a2d:g:mOQAAOSwHJBhWGci,https://i.ebayimg.com/thumbs/images/g/mOQAAOSwHJBhWGci/s-l225.jpg
7,Bag,Tag it and bag it Fanny Pack,$27.95,https://www.ebay.com/itm/233470341093?hash=item365beaafe5:g:9TcAAOSwLkReJTIk,https://i.ebayimg.com/thumbs/images/g/9TcAAOSwLkReJTIk/s-l225.jpg
8,Bag,Woman crossbody bag Furla 1927 mini in solid black leather and shoulder purse,$177.36,https://www.ebay.com/itm/254873377588?epid=18039325748&_trkparms=ispr%3D1&hash=item3b57a31b34:g:DLUAAOSwcFxgL~Qq&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSg3Ye8yTWgOW7pmE1t838dgj0cH3S1iJ9drR5tIg%252BRjOloV0SlFUmtv8r%252B7D%252BaGcyozBWvcyBWWvXScXLo4uFyO7Al9zrZPbQD2E%252F%252FCckE38SvO85IqWubyv%252BVsQlNL1yFLzKxme4mW8EVZAq9PkVncqqNtiA9auluW65NNe8QaM0T43eqEqZeHQ0R2J10vygoYOKwG5jiN4OfB%252FKsVWwNYDOjHdP1Hkz%252FgNNzlQs1f8TnVnYHP3gRAg0F3mz6GQCOkWQGHbhGkUZuMa0%252FQ9kROcbLPQgnSgyD0O%252Bdst4zAwHKsx835JpeAemHzkslTLNgBonUCGHIvgC60ORutr99jarqu0WKENRrKsZtoJ5%252F7YclQQBiIbJPQGIvv81VH2HToA7mEJUgeEXzQUtcZQrwFrkPgdf6FKXtkqhMwu8Kv5yHKmb3v6Mo8N89aMzaQbwF8pHc0A4FSTafixN%252FfjQqwSChZ0ECWDsf4R0zTZvewiRYTlXD77yYtWuDW3Ct3HNc%252B31hKPG5Imbf0P%252FtSHVCKLDUdkVI6P0qZbgZ8%252FYUJI76%252BfrjUwny%252F7GW3fzeSeZF%252B%252Fu1kYYar0oztKqWMFQFrnXfXjQVW%252FlCSEPLH5TyjTXjYhGmpP5AJ8r7tV9uj6VgJY8QJRWUiJggiYM8sKcvk9rAmJGjEjn0TyNPEXf5nmGcMvBVRQIvKs5LjG%252BcMYp6XtPh4wTfhiIINZM%252BwChJrNTg5gM%252F3bkVEJRw9S1sMwbEu53lkIVo0euDOYgY%252B6CTbJYiioTgmAPhuOhMRrpHCHoZAScm37OMASiXNuOQFqz%252BUpKgwH17O6RzWVyGMVh%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/DLUAAOSwcFxgL~Qq/s-l225.jpg
9,Bag,Universal Tactical Mobile Phone Belt Pack Bag Molle Waist Military Pouch Holster,$5.80,https://www.ebay.com/itm/174886756418?_trkparms=ispr%3D1&hash=item28b8102042:g:4jUAAOSwkGhhFK0y&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSDAeS9EQtjPGVfKXTxF0%252Bjt%252BUtJGApWJ9hScnXgCgKFFIaE06v7X0AS4M9gXbDcouG6bssWgoJyz1gqV0%252BOO02ng6PK8kN1rv0iCUUIwVkuRWo0VioaN7tVB1E3GcPvOZ9oBd0V2VvmB7VJuznWt%252BQhGhtL7YB4H8pjvCrgkrQroa81FuDsqOuk2OorfSpQGWRnLstFEWEldktsigaR3DiwU%252Bp%252Bq3PjvdWqVrvjAET7qO8U12Zpq8A2D90xaG9hzmZvBLf3czTAmDrsu0m0uAxYLOFO9QcAPjFmNvCXkkaSgE%252Bl4l8J6khMIQXktK2mtZ%252FAJQ40bvK%252FPwULpiV2Kln7bBPp07Azs2sprwR4UzdQeifU39694IOB5fEObQ6E0yd9vMVNRcrfX7bNve%252FTFj6cKwtd3IZ7mShhGSn82O3Fr4jkMvbf9SQYA%252BLJMg5R6%252FCNImR5oosSpjoEw957P8inbLvI6QxX1Am9ObcmFmt1hR13kTkKCb7sHGDqF0VBCJizyqc985XbrJi2vtTda94Uv6EvAsM8GN%252F1A0gr4RX1B51hBwH%252F42CsT0tJLbZj%252FUy%252BRf1ETv4NzQ7qJtqZbzmfCvqU0vzFX%252B5ofYet4XpS87wBoil7y1bxBB16MDDMqeQmDiJ1%252FBF2HbTh4XTvKVA2sQ2HVpVfHUnwGr3Wme%252FCrWA2GGuiEMc8Tyh0kzb5TOBov6uWja2NBXHLJSNuaWf0OI3elYYw%252F8EVl101UAWjMdBir70bz0Gt0jewNZ7df1atBcMIHfho0lRQVZehqEll7kqa4pDnw3Kd5voPdvLFAC1FxJjab3qoII2qBpjZgz%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/4jUAAOSwkGhhFK0y/s-l225.jpg
